STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WESF,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/18/2015,8.95,0,,,,72,37,,,1,1,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/19/2015,6.71,0,,,,62,33,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/20/2015,9.84,0.25,,,,48,39,,,1,,1,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/21/2015,5.14,0.53,,,,58,35,,,1,,1,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/22/2015,6.49,0.73,,,,59,31,,,1,1,1,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/23/2015,12.75,0.03,,,,42,31,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/24/2015,14.99,0,,,,39,30,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/25/2015,9.62,0,,,,52,27,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/26/2015,6.26,0,,,,52,32,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/27/2015,11.18,0,,,,54,39,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/28/2015,10.29,0,,,,59,41,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/29/2015,8.28,0,,,,69,43,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,4/30/2015,3.36,0,,,,62,37,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/1/2015,2.01,0,,,,58,40,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/2/2015,3.58,0,,,,70,37,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/3/2015,5.14,0,,,,75,41,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/4/2015,7.83,0,,,,81,43,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/5/2015,8.05,0,,,,76,55,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/6/2015,4.25,0,,,,73,51,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/7/2015,2.91,0,,,,80,41,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/8/2015,4.25,0,,,,85,48,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/9/2015,8.05,0,,,,77,50,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/10/2015,8.5,0,,,,84,62,,,,,1,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/11/2015,9.17,0,,,,83,60,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/12/2015,11.63,0.07,,,,79,51,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/13/2015,11.41,0,,,,57,38,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/14/2015,4.7,0,,,,64,33,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/15/2015,3.13,0,,,,70,35,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/16/2015,3.8,0.06,,,,73,51,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/17/2015,6.04,0,,,,80,54,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/18/2015,6.93,0,,,,76,52,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/19/2015,5.59,0.12,,,,78,49,,,1,,1,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/20/2015,14.09,0,,,,53,42,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/21/2015,5.59,0,,,,61,41,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/22/2015,12.3,0,,,,64,42,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/23/2015,8.5,0,,,,60,34,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/24/2015,4.92,0,,,,77,33,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/25/2015,6.04,0,,,,81,49,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/26/2015,7.38,0,,,,84,65,,,,,1,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/27/2015,6.26,0.77,,,,83,60,,,1,,1,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/28/2015,7.38,0.26,,,,80,58,,,1,,1,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/29/2015,2.91,0,,,,80,50,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/30/2015,8.5,0.02,,,,82,54,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,5/31/2015,7.38,0.28,,,,69,49,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,6/1/2015,7.38,1.39,,,,50,44,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,6/2/2015,3.58,0.14,,,,54,44,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,6/3/2015,2.68,0,,,,68,45,,,1,1,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,6/4/2015,4.25,0,,,,67,50,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,6/5/2015,3.58,0,,,,76,51,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,6/6/2015,5.82,0.16,,,,67,42,,,1,,1,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,6/7/2015,6.93,0,,,,71,37,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,6/8/2015,10.51,0.81,,,,72,57,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,6/9/2015,9.17,0.4,,,,74,57,,,1,,1,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,6/10/2015,6.49,0,,,,76,54,,,,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,6/11/2015,8.05,0,,,,80,59,,,,,,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,6/12/2015,6.26,0.55,,,,83,59,,,1,,1,,,,1,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,6/13/2015,6.49,0,,,,78,57,,,1,,,,,,,,
USW00014763,"PITTSFIELD MUNICIPAL AIRPORT, MA US",42.42685,-73.28907,363.9,6/14/2015,2.91,0.03,,,,81,54,,,1,,,,,,,,
